day, part, python, go, bash, javascript, ruby, c++, rust
1, 1, 0.965, 0.220, 2.982, 0.062, ,,
1, 2, 0.968, 0.228, ,, ,,
2, 1, 0.973, 0.203, 0.771, 0.065, 0.105, 0.004,
2, 2, 0.963, , ,, ,,
3, 1, 1.316, , ,, ,,
3, 2, 1.263, , ,, ,,
4, 1, 0.961, , ,, ,,0.017
4, 2, 0.936, , ,, ,,0.023
5, 1, 2.099
5, 2,, , ,, ,,
6, 1, 1.110, 0.221, 0.30, 0.050, 0.105,,
6, 2, 1.867, 1.331, 471.106, 17.620, 5.780,,
7, 1, 0.979, , ,, ,,
7, 2, 0.935, , ,, ,,
8, 1, 1.038, , ,, ,,
8, 2, 1.053, , ,, ,,
9, 1, 3.686, , ,, ,,
9, 2, 3.656, , ,, ,,
10,1, , ,, ,,,
10,2, , ,, ,,,
11,1, 1.009, , ,, ,,
11,2, 1.343, , ,, ,,
12,1, , ,, ,,,
12,2, , ,, ,,,
13,1, , ,, ,,,
13,2, , ,, ,,,
14,1, 0.995, ,, ,,,
14,2, , ,, ,,,